dataset,regulation,num,paragraph
Quais objetivos da COMPROV,"O processo seletivo para acesso aos cursos de graduação, executado pela
COMPROV tem como referência os conteúdos curriculares desenvolvidos no ensino médio,
objetivando:
I – aferir conhecimentos adquiridos e habilidades desenvolvidas pelos candidatos,
considerados como requisitos necessários à realização de curso superior;
II – classificar os candidatos dentro do limite de vagas fixado para cada curso. ",Art. 11,"Parágrafo único. A COMPROV procederá ao preenchimento das vagas geradas pelo
não comparecimento ao cadastramento, pela desistência formal de cadastramento, observada a
ordem de classificação, até o primeiro dia de matrícula do primeiro período letivo, estabelecido no calendário acadêmico."
Em que caso são permitidos a transferência de cursos para UFCG,"Será permitida a transferência para cursos da UFCG aos alunos vinculados a
cursos idênticos ou afins, de estabelecimentos de ensino superior nacionais ou estrangeiros,
em duas modalidades: transferência voluntária e transferência ex-officio.",Art. 12,
Quais os meios de admissão de alunos na UFCG,"A admissão de alunos aos cursos de graduação da UFCG, por meio de transferência voluntária, para cursos idênticos ou afins, far-se-á através de processo seletivo, realizado anualmente, destinado à classificação de candidatos, até o limite de vagas oferecidas. ",Art. 13,Parágrafo único. O processo seletivo de que trata o caput deste artigo será regulamentado por legislação específica da Câmara Superior de Ensino e executado pela COMPROV.
A transferencia voluntaria tem que criterios,"A transferência voluntária de alunos terá como critérios básicos:
I – a existência de vagas; 
II – a integralização de carga horária cursada pelo candidato na instituição de origem,
conforme disposto no Edital do processo seletivo.",Art. 14,
Quais candidatos podem participar do processo seletivo de transferencia,"Somente poderá participar do processo seletivo candidato:
I – regularmente vinculado em Instituição de Ensino Superior credenciada e em curso
autorizado pelo Ministério da Educação;
II – que totalize carga horária acumulada, fixada nos termos do Edital do processo seletivo;
III – que não tenha superado 50% do tempo mínimo estabelecido para a integralização
do curso de origem.",Art. 15,
Qual período de inscricao para processo de transferencia,"O período de inscrição para o processo seletivo de transferência voluntária,
será fixado em Edital.",Art. 16,"Parágrafo único. O Edital publicado pela COMPROV especificará os locais de inscrição, o valor da taxa de inscrição, as formas de pagamento, a documentação necessária, o
número de vagas em cada curso e a data de realização das provas."
Quais cursos posso escolher para transferencia voluntaria,"O candidato poderá optar por curso idêntico ou que tenha afinidade com o
curso de origem, consideradas as áreas de conhecimento.",Art. 17,"§ 1º Somente serão aceitas as inscrições feitas pelos candidatos ou por seus procuradores legalmente constituídos, quando apresentarem, no ato de inscrição, toda a documentação
exigida, e firmarem declaração de que aceitam as condições estabelecidas para o certame,
fixadas por este Regulamento, por legislação específica emanada da Câmara Superior de Ensino, no Manual e no respectivo Edital.
§ 2º Os candidatos classificados serão convocados para o cadastramento por Edital.
§ 3º O cadastramento é obrigatório, qualquer que tenha sido a opção de curso em que
o candidato tenha obtido classificação, sob pena de perda do direito ao vínculo institucional.
§ 4º A COMPROV procederá ao preenchimento das vagas geradas pelo não comparecimento ao cadastramento, pela desistência formal de cadastramento realizado, observada a
ordem de classificação, até o limite de cinco dias antes da matrícula do período letivo respectivo."
Qual a validade dos processos de transferencia ,"A classificação resultante do Processo Seletivo somente terá validade para as
vagas e período letivo constantes no Edital. ",Art. 18,
"Em que epoca do ano a transferencia academica ex oficio sera
efetivada ","Nos termos da Legislação Federal, a transferência acadêmica ex-officio será
efetivada em qualquer época do ano, e independente da existência de vagas, exclusivamente
quando se tratar de estudante servidor público federal, civil ou militar ou seu dependente estudante, na forma da lei, se requerida em razão de comprovada remoção ou redistribuição 
(transferência de oficio), que acarrete mudança de domicílio para o município onde se situe
um dos campi desta Universidade, ou para localidade mais próxima. ",Art. 19,"Parágrafo único. A regra do caput deste artigo não se aplica quando o interessado na
transferência deslocar-se para assumir cargo efetivo, em razão de concurso público, cargo
comissionado ou função de confiança. "
Quais cursos a transferencia academica ex oficio pode escolher,"A transferência acadêmica ex-officio será concedida para prosseguimento de
estudos do mesmo curso de origem ou, na inexistência deste, de curso afim. ",Art. 20,"§ 1º O curso de origem deverá ser reconhecido ou ter seu funcionamento autorizado
pelo órgão federal competente.
§ 2º A afinidade entre cursos será fixada em Resolução específica da Câmara Superior
de Ensino."
Como se da o processo de solicitação de transferência ex oficio,"O processo de solicitação de transferência ex officio deverá ser instruído com
os seguintes documentos:
I – requerimento padronizado preenchido pelo interessado;
II – fotocópia da cédula de identidade, título de eleitor e CPF;
III – fotocópia de comprovantes de residência anterior e atual;
IV – fotocópias dos documentos comprobatórios da dependência de que trata o art. 19.
V – fotocópia do ato publicado no Diário Oficial da União ou Boletim de Serviço, e
que fundamenta o pedido;
VI – fotocópia do documento comprobatório do reconhecimento ou da autorização de
funcionamento do curso de origem.
VII – histórico acadêmico e declaração de regularidade de matrícula na Instituição de
Ensino Superior de origem, ambos no original e devidamente atualizados; ",Art. 21,"§ 1º na hipótese de fotocópias não autenticadas, os originais dos documentos a que se
referem os incisos II a VI, deverão ser apresentados para fins de autenticação.
§ 2º Para fins de efetivação do inciso V deste artigo, não será aceita declaração como
documento comprobatório de remoção ou de redistribuição funcional.
§ 3º Além dos requisitos expressos neste artigo, somente será aceito pedido de interessado oriundo de instituição privada de ensino superior, exclusivamente, se inexistir instituição
congênere que ofereça curso de idêntica denominação ou curso afim ao de origem do interessado."
Onde apresenta a documentação para transferência,"O requerimento acompanhado de toda a documentação será apresentado no
Protocolo Geral, no campus de Campina Grande e, nos demais campi, nos Protocolos Setoriais.",Art. 22,
Candidatos já graduados como podem ingressar na UFCG,"Candidatos já graduados poderão ingressar nos cursos de graduação da
UFCG, mediante processo seletivo, para:
I – obtenção de novo grau;
II – realização de nova modalidade:
a) Licenciatura
b) Bacharelado
III – complementação de estudos para integralização de:
a) Licenciatura Plena respectiva, no caso de licenciados em curso de curta duração;
b) graduação em Pedagogia, quando se tratar de diplomados em outras licenciaturas;
c) nova habilitação e/ou ênfase do mesmo curso, dentro dos limites fixados na regulamentação do Curso.",Art. 23,"§ 1º Não haverá expedição de novo diploma ao aluno que concluir uma nova modalidade, habilitação e/ou ênfase de um mesmo curso.
§ 2º O processo seletivo de que trata o caput deste artigo será regulamentado por legislação específica da Pró-Reitoria de Ensino. "
Reingresso é permitido quantas vezes,"O reingresso nos cursos de graduação da UFCG será permitido uma única vez
e terá como critérios básicos: 
I – a existência de vagas;
II – a desvinculação há, no máximo, quatro períodos letivos, para os cursos semestrais,
ou dois períodos letivos, para os cursos anuais;
III – ter integralizado 60% da carga horária total do curso;
IV – não ter permanecido na instituição mais tempo que o termo médio entre o tempo
máximo e mínimo do curso.",Art. 24,
Como reingressar ,"O reingresso será precedido de processo seletivo, executado pela Pró-Reitoria
de Ensino, no limite de vagas estabelecido para cada curso, conforme legislação específica da
Câmara Superior de Ensino.",Art. 25,
Quem pode reingressar ,"Somente poderão requerer reingresso alunos que atendam os requisitos: 
I – a existência de vagas;
II – a desvinculação há, no máximo, quatro períodos letivos, para os cursos semestrais,
ou dois períodos letivos, para os cursos anuais;
III – ter integralizado 60% da carga horária total do curso;
IV – não ter permanecido na instituição mais tempo que o termo médio entre o tempo
máximo e mínimo do curso.
E tenham perdido o vínculo por: 
I – situação de abandono no mesmo curso;
II – solicitação voluntária. ",Art. 26,
Em que casos posso mudar de curso,"A mudança de curso é facultada aos alunos, no âmbito da UFCG, nos casos
de:
I – mudança da sede do curso em que o aluno esteja matriculado para outro campus da
Universidade;
II – extinção de curso ou desativação temporária;
III – reopção entre cursos da mesma área, existindo vaga.",Art. 27,"§ 1º Na hipótese dos incisos I e II deste artigo, a UFCG promoverá, se necessário, a
ampliação de vagas em curso da mesma área de conhecimento, para possibilitar a redistribuição dos alunos.
§ 2º A afinidade entre cursos será aquela definida em normas estabelecidas pela Câmara Superior de Ensino. "
Como mudar de curso,"Será precedido de processo seletivo, executado pela Pró-Reitoria de Ensino,
no limite de vagas estabelecido para cada curso, conforme legislação específica da Câmara
Superior de Ensino e em Edital.",Art. 28,"Parágrafo único. Não participarão do processo seletivo de reopção, os alunos cujo ingresso no curso ao qual estão vinculados ocorreu por meio de acesso distinto do Processo Seletivo Vestibular."
Quem assina a mudança de curso,"Os pedidos de reopção de curso ou de turno deverão ser instruídos com o requerimento do candidato, devidamente assinado, em formulário padronizado pela Pró-Reitoria
de Ensino. ",Art. 29,
Como se da a alocação em caso de mudança de curso,"O preenchimento das vagas que serão disponibilizadas para reopção de curso
ou turno deverá respeitar a seguinte ordem de prioridade:
I – para outro turno do mesmo curso;
II – para outra habilitação do mesmo curso;
III – para curso de mesma denominação em outro Centro;
IV – para curso da mesma área de conhecimento. ",Art. 30,"Parágrafo único. Havendo empate, terá prioridade o candidato com maior número de
horas-aula acumuladas; persistindo o empate, será aprovado o candidato com menor número
de reprovações; ainda persistindo o empate, serão classificados os dois."
Onde cadastrar se for aprovado para mudar de curso," Os candidatos classificados deverão efetuar seu cadastramento na Coordenação de Controle Acadêmico da Pró-Reitoria de Ensino, quando se tratar de curso do campus
de Campina Grande, e na Unidade Acadêmica, quando se tratar de curso dos demais campi. ",Art. 31,
O que é o cadastramento mediante a mudança de curso," Denomina-se de cadastramento o ato pelo qual o candidato, selecionado por
quaisquer das formas definidas no capítulo anterior, vincula-se formalmente à UFCG, recebendo um número de inscrição que o identificará como aluno da Instituição. ",Art. 32,"Parágrafo único. O cadastramento, condição necessária para a realização da primeira
matrícula em disciplina, consiste na apresentação da documentação comprobatória exigida,
conforme norma específica."
Quem faz o cadastramento mediante a mudança e curso,"O cadastramento será feito pelo próprio candidato ao ingresso em curso de
graduação, ou por procurador legalmente constituído, nas datas e nos locais especificados em
Edital. ",Art. 33,"Parágrafo único. Perderá direito a vincular-se à Instituição o candidato que não comparecer aos setores competentes, pessoalmente ou através de procurador legalmente constituído, para apresentar e entregar a documentação exigida nos termos do Edital de convocação
para efetivar o cadastramento. "
Posso fazer duas graduações publicas,"É vedado ao aluno manter vínculo simultâneo com dois ou mais cursos de
graduação da UFCG. ",Art. 34,
Quais tipos de matrícula,"Nos cursos de graduação são adotadas as seguintes modalidades de matrícula:
I – matrícula em disciplinas – instrumento que habilita o aluno a cursar disciplina ou
componente da estrutura curricular do Curso a que esteja vinculado;
II – matrícula institucional – instrumento que mantém o vínculo do aluno com a Instituição, concedido pela Administração.",Art. 35,
Quem pode fazer matricula," A matrícula será concedida:
I – a alunos vinculados à UFCG;
II – nos demais casos previstos neste Regulamento. ",Art. 36,
Como fazer a matricula em disciplinas,"A matrícula em disciplinas será realizada, por período letivo, pessoalmente ou
por meio eletrônico ou através de procurador legalmente constituído, nas Unidades Acadêmicas e orientadas pelo Coordenador do Curso. ",Art. 37,Parágrafo único. É vedada a matrícula institucional no período de ingresso na UFCG.
A matricula tem limite de cadeiras,"A matrícula em disciplinas far-se-á dentre um conjunto de disciplinas organizado pelo Coordenador do Curso para cada período letivo, obedecendo aos limites mínimo e
máximo de créditos ou carga horária fixados na Resolução que regulamenta o Curso. ",Art. 38,"§ 1º É vedada a matrícula em disciplinas em horários simultâneos.
§ 2º Não será permitida a matrícula em disciplinas sem o cumprimento dos correspondentes pré-requisitos, ressalvada a legislação específica."
Concluinte pode se matricular em mais créditos,"Será permitido ao aluno provável concluinte no período, desde que comprovado, matricular-se em até 4(quatro) créditos ou até 60 horas, além do limite máximo fixado
na Resolução do Curso. ",Art. 39,"Parágrafo único. A permissão contida no caput deste artigo será estendida ao aluno a
ser matriculado no último período de disciplinas teóricas, exclusivamente no caso de curso
cuja estrutura curricular determine, para o último período letivo, a matrícula em disciplina(s)
unicamente de conteúdo prático."
Quantas cadeiras extracurriculares posso me matricular,"Aos alunos matriculados na UFCG é permitida matrícula em disciplinas extracurriculares, para efeito de enriquecimento curricular, até um máximo de 16 (dezesseis)
créditos ou de 240 (duzentos e quarenta) horas-aula, durante o curso, mediante a autorização
conjunta dos Coordenadores dos Cursos envolvidos, desde que requerida até o período de
matrícula em vagas remanescentes.",Art. 40,
As vagas remanescentes ,"As vagas remanescentes em disciplinas após o encerramento do processo de
matrícula e ajustamento poderão ser ocupadas por alunos especiais não vinculados, desde que
sejam:
I – titulares de diploma de curso superior;
II – alunos em trânsito, vinculados à outra Instituição de Ensino Superior. ",Art. 41,"§ 1º. A matrícula em disciplina, de que trata este artigo, dar-se-á até o limite de duas
disciplinas por período letivo e não vincula o aluno a curso de graduação mantido pela UFCG.
§ 2º O aluno especial pode cursar, nesta Instituição, o máximo de 16 (dezesseis créditos) ou 240 (duzentos e quarenta horas).
§ 3º A solicitação de vaga inicia-se mediante requerimento do interessado dirigido ao
Coordenador de Curso, protocolado nos prazos previstos no calendário acadêmico, indicando 
o curso, a disciplina e o turno, anexando documento comprobatório da condição disposta neste artigo, nos incisos I e II.
§ 4º O aluno que concluir, com aproveitamento e frequência, a disciplina na qual tenha
se matriculado, terá direito a certificado emitido pela Coordenação de Controle Acadêmico da
Pró-Reitoria de Ensino."
A instituição pode fazer minha matricula?,"A matrícula institucional poderá ser concedida de ofício, pela Instituição,
quando o aluno:
a) for admitido por transferência ou reopção, cujo processo tenha sido aprovado após o
período de ajustamento de matrícula;
b) estiver afastado da instituição, por vinculação a programa acadêmico;
c) obtiver prorrogação de prazo após o período de ajustamento;
d) não efetuar matrícula na data estabelecida e, durante o período de ajustamento,
comprovadamente não conseguir matrícula em vaga remanescente. ",Art. 42,"§ 1º A matrícula institucional será admitida por prazo não superior à diferença entre os
tempos máximo e mínimo exigidos para conclusão do curso.
§ 2º A matrícula institucional será computada no tempo máximo estabelecido para integralização curricular do curso.
§ 3º A matrícula institucional, por concessão da instituição não será contabilizada para
efeito de interrupção de estudo. "
Em que casos posso reajustar minha matricula,"Haverá ajustamento de matrícula nas seguintes hipóteses:
I – quando a matrícula não for efetuada, por um dos seguintes motivos:
a) falta de vagas;
b) não implantação de aproveitamento de estudos antes do processamento da matrícula;
c) não implantação, no histórico acadêmico, de notas dos pré-requisitos em que se obteve aprovação;
d) erro de cadastro de disciplinas;
e) falha de processamento computacional.
II – para matricular-se em Estágio Curricular.",Art. 43,
Não consegui fazer minha matricula o que acontece," O aluno que não fizer matrícula em disciplinas no período estabelecido no calendário acadêmico poderá solicitá-las ainda no período de ajustamento, ficando-lhe assegurada apenas a matrícula nas disciplinas com vagas remanescentes. ",Art. 44,"§ 1º Ao aluno que não efetuar matrícula em disciplinas, na data estabelecida no calendário acadêmico, e que não tenha conseguido nenhuma vaga remanescente no período de ajustamento, será concedida matrícula institucional.
§ 2º Para o aluno que não se enquadrar no disposto no parágrafo anterior, caracterizar- se á abandono de curso."
"Passou o período de reajuste, ainda posso me matricular","Após o ajustamento de matrícula, somente será admitido adicionamento de
disciplinas, quando ainda não houver decorrido 20% do período letivo, a alunos que:
I – tenham sido admitidos por transferência ou reopção de curso, e cujo processo somente tenha sido aprovado após o período de ajustamento de matrícula;
II – tenham solicitado prorrogação de prazo para conclusão de curso, cujo processo tenha sido aprovado pela Pró-Reitoria de Ensino após o ajustamento de matrícula. ",Art. 45,"§ 1o Quando ultrapassado o limite de 20% do período letivo, será concedida matrícula
institucional, nas hipóteses dos incisos I e II.
§ 2º A matrícula em disciplinas referida no caput deste artigo deverá ser requerida ao
Coordenador do Curso e autorizada pela Pró-Reitoria de Ensino."
Posso trancar o período?,"É permitido o trancamento da matrícula no curso, no decorrer do período letivo, mediante requerimento do interessado, cumprido os requisitos fixados pela Universidade,
desde que o aluno tenha cursado, com aproveitamento, um mínimo de 12 (doze) créditos ou
180 (cento e oitenta) horas-aula.",Art. 46,"§ 1º O prazo para solicitação de trancamento não poderá ser superior a um terço do período letivo.
§ 2º O trancamento pode abranger a matrícula no curso ou em disciplina na qual o aluno se matriculou no período letivo."
Em que caso não posso trancar disciplinas?,"É vedado o trancamento da matrícula:
I – numa mesma disciplina mais de duas vezes;
II – no curso ou de disciplinas no primeiro ano letivo;
III – em disciplinas, quando o número de créditos em que o aluno permanecerá matriculado for inferior ao mínimo estabelecido para o curso.",Art. 47,"Parágrafo único. O trancamento da matrícula em disciplina que possua co-requisito
implica no trancamento de ambas."
Se eu trancar todas as disciplinas,"O trancamento da matrícula no conjunto de disciplinas é definido como trancamento total e corresponde à interrupção de estudos, não sendo computado no prazo máximo
fixado para a integralização curricular. ",Art. 48,"§ 1º O trancamento total somente poderá ser concedido pelo Coordenador do Curso,
por prazo não superior à metade do tempo mínimo exigido para a conclusão do curso, e, se
solicitado pelo aluno em formulário específico, até um terço do período letivo.
§ 2º O trancamento total deve ser solicitado ao Coordenador de curso, em formulário
padrão, antes de transcorrido um terço do período letivo.
§ 3º A duração do trancamento total não pode exceder a metade do tempo mínimo
exigido para a conclusão do curso
§ 4º Somente em caso de força maior, devidamente comprovado, a critério da PróReitoria de Ensino, o prazo para a solicitação do trancamento total será estendido até o último
dia de aulas do período letivo.
§ 5º O trancamento total do período é vedado ao aluno ingressante em seu primeiro
ano de curso."
Posso trancar disciplinas?,"Será assegurado trancamento total ou em disciplina(s), em qualquer época do
período letivo, ao aluno submetido ao regime de exercícios domiciliares, na forma da legislação vigente, quando a Instituição não puder cumprir a programação estabelecida para a(s)
disciplina(s). ",Art. 49,
Em que caso perco o vínculo com a UFCG,"Perderá o vínculo com a UFCG o aluno que:
a) não efetuar matrícula em disciplinas no período de ingresso na UFCG;
b) for reprovado por faltas em todas as disciplinas no período;
c) for reprovado três vezes em uma mesma disciplina;
d) no período de vencimento do prazo máximo fixado para integralização curricular,
não requerer prorrogação de prazo para conclusão do curso;
e) deixar de se matricular em qualquer período letivo, caracterizando o abandono de
curso;
f) descumprir o termo de compromisso da prorrogação de prazo;
g) por decisão judicial;
h) descumprir o protocolo do Programa de Estudantes Convênio Graduação – PEC-G;
i) descumprir termo de compromisso dos programas acadêmicos específicos; 
j) solicitar sua desvinculação em qualquer momento do curso;
l) por sanção disciplinar nos termos do Regimento Geral. ",Art. 50,
Quem organiza a reformulação dos cursos de graduação,"A elaboração e a reformulação dos currículos dos Cursos de Graduação obedecerão ao disposto no Estatuto, no Regimento Geral da UFCG, nas diretrizes curriculares
emanadas do Conselho Nacional de Educação e demais normas em vigor. ",Art. 51,"Parágrafo único. Na Resolução dos cursos que ofereçam opção para as modalidades
bacharelado e licenciatura, ou que ofereçam habilitações ou ênfases, deverão estar explícitos
os objetivos e os eixos epistemológicos das respectivas modalidades, habilitações ou ênfases."
O que é o currículo do curso," O currículo deverá ser a expressão do projeto pedagógico de cada curso, abrangendo o conjunto de conteúdos comuns, específicos e eletivos, experiências, estágios e
situações de ensino-aprendizagem relacionadas à formação do aluno. ",Art. 52,Parágrafo único. A composição curricular será cadastrada no sistema de controle acadêmico – SCA.
Os cursos de graduação compreendem ,"Os currículos dos cursos de graduação compreendem:
I – Componentes curriculares básicos;
II – Componentes curriculares complementares.",Art. 53,"§ 1º Cada curso deve possuir um projeto pedagógico que demonstre como o conjunto
de atividades previstas, sistematizado em componentes curriculares, garantirá o perfil desejado para o egresso.
§ 2º As formas de organização e de integralização curricular serão disciplinadas pela
Resolução do Curso, conforme estabelecido no seu projeto pedagógico."
Como são organizados os currículos dos cursos,"Constituirão referências para a organização curricular dos cursos de graduação a interdisciplinaridade, a transdisciplinaridade e a indissociabilidade entre o ensino, a
pesquisa e a extensão.",Art. 54,
Quanto tempo tem o ano letivo,"O ano letivo regular tem, independentemente do ano civil, no mínimo, 200
(duzentos) dias de trabalho acadêmico efetivo, excluído o tempo reservado aos exames finais,
quando houver, podendo ser dividido em dois períodos de 100 (cem) dias letivos cada um. ",Art. 55,"§ 1º Outras formas de organização do ano letivo poderão ser adotadas, desde que o
projeto do curso assim o recomende.
§ 2º Entre os períodos letivos, poderão ser desenvolvidas atividades curriculares, em
regime intensivo, na forma de período letivo complementar."
Pessoas com deficiências conseguem estudar na UFCG,"O processo de integralização curricular dos cursos da UFCG contemplará
formas e procedimentos que permitam atender às especificidades de alunos com necessidades
educativas especiais e daqueles que apresentem extraordinário desempenho acadêmico.",Art. 56,
Quanto tempo tem o ano letivo complementar,"O período letivo complementar terá a duração mínima de 1/3 (um terço) do
período letivo normal e funcionará com o objetivo de complementar a programação didática
dos períodos regulares, nos casos de:
I – insuficiência da capacidade instalada da Unidade Acadêmica, constatada por ocasião da matrícula, para atender demanda real aluno/disciplina;
II – redução de demanda potencial para o período letivo seguinte;
III – normalização do fluxo de integralização curricular.",Art. 57,"Parágrafo único. O disposto no caput deste artigo será disciplinado por Portaria da
Pró-Reitoria de Ensino."
Como participar do ano letivo complementar,"Alunos interessados na oferta de período letivo complementar poderão encaminhar solicitação ao Coordenador do Curso que examinará sua viabilidade nos termos da
Portaria da Pró-Reitoria de Ensino e, sendo possível, dará prosseguimento ao processo.",Art. 58,
Quantos créditos posso cursar em período letivo complementar?,"Quando ofertadas disciplinas em período letivo complementar, o aluno poderá
cursar, no máximo, 10 créditos, ou 150(cento e cinquenta) horas.",Art. 59,
Posso aproveitar cadeiras?,"É facultada a solicitação de aproveitamento de estudos aos alunos que estejam
regularmente vinculados aos cursos de graduação da UFCG, e cujo ingresso tenha ocorrido
mediante:
I – processo seletivo Vestibular;
II – transferência de outra IES;
III – ingresso como graduado;
IV – convênio cultural do Brasil com outros países;
V – reopção de curso ou turno.",Art. 60,"§ 1º Para fins de aproveitamento de conteúdos ou de disciplinas, serão consideradas
válidas apenas as disciplinas concluídas, com aprovação, até o final do primeiro período, no
curso de graduação em que o aproveitamento for solicitado.
§ 2º Serão aproveitadas as disciplinas cursadas pelo aluno em outras Instituições de
Ensino Superior – IES, em paralelo ao curso da UFCG, em caso de convênios específicos
estabelecidos entre a UFCG e essas IES."
Quais cadeiras posso aproveitar,"O aproveitamento de estudos é o resultado do reconhecimento da equivalência do valor formativo de disciplinas de curso de graduação da UFCG ou dos conteúdos destas:
I – com aquela cursada em cursos de graduação em outra instituição de ensino superior
ou na própria UFCG;
II – com a comprovação de competência adquirida em ambiente extra-acadêmico.",Art. 61,
Como da entrada no processo de aproveitamento de cadeiras,"A solicitação de aproveitamento de estudos será protocolada e encaminhada
ao Coordenador de Curso, acompanhada da seguinte documentação:
a) requerimento do interessado indicando a(s) disciplina(s) em que deseja aproveitamento;
b) comprovante do reconhecimento ou autorização de funcionamento do curso de origem;
c) histórico acadêmico original em que conste(m) a(s) disciplina(s) objeto da análise;
d) documento que comprove o sistema de avaliação da instituição de origem, contendo
a tabela de conversão dos conceitos em notas, quando for o caso;
e) cópia do programa ou do plano de ensino da disciplina ou das disciplinas cursadas,
devidamente identificadas e compatíveis com o histórico escolar, autenticadas pela instituição
de origem.",Art. 62,"§ 1º Somente serão aceitos pedidos protocolados até 30 (trinta) dias antes do início do
período letivo.
§ 2º O aproveitamento implantado até 20% após o início do período autoriza a matrícula em disciplina subseqüente.
§ 3º O aproveitamento de estudos na graduação, após oito anos da aprovação na disciplina cursada, depende do desempenho satisfatório em exame de suficiência aplicado pela
Unidade Acadêmica, ouvido o colegiado do curso.
§ 4º O aproveitamento de estudos para graduados será objeto de regulamentação específica.
§ 5º Será indeferido automaticamente pelo Coordenador do Curso o processo cuja documentação esteja incompleta. 
§ 6º Documentos oriundos de instituições estrangeiras deverão estar obrigatoriamente
acompanhados das respectivas traduções oficiais, em português.
§ 7º Na hipótese do inciso II do artigo anterior, o interessado apresentará apenas o requerimento indicando a(s) disciplina(s) em que deseja o aproveitamento de estudos e, quando
for o caso, fotocópia dos documentos comprobatórios da aquisição de competência sendo
submetido a teste compatível com o conteúdo proposto, ao qual será atribuída nota.
§ 8º A concessão de dispensa de disciplina por aproveitamento de estudos determina o
cancelamento da matrícula em disciplina."
As cadeiras que quero dispensar tem o mesmo valor,"São consideradas equivalentes, para fins de aproveitamento de estudos, as
disciplinas que tenham valor formativo igual ou semelhante àquelas do currículo do curso de
graduação da UFCG.",Art. 63,"§ 1º Somente será possível o aproveitamento quando a disciplina cursada apresentar
valor formativo igual ou superior a 75% do oferecido na disciplina da UFCG, condicionada a
realização de complementação de estudos, nos termos da legislação complementar da Pró Reitoria de Ensino.
§ 2º Na hipótese de a disciplina cursada apresentar carga horária inferior à exigida em
disciplinas oferecidas na UFCG, o aluno deverá fazer complementação de carga horária para
efeito de integralização curricular."
